"Ticker","Nome","Negócios","Última (R$)","Variação"
"NUTR3","Nutriplant","1.300","3,19","+1,59%"
"CEEB3","COELBA","1.200","37,19","-0,24%"
"COCE3","Coelce","1.100","32,00","+10,34%"
"ISAE3","ISA Energia","1.100","30,44","+1,13%"
"BRKM6","Braskem","1.100","8,72","+1,40%"
"REDE3","Rede Energia","1.100","6,40","-1,54%"
"MNDL3","Mundial","1.000","18,50","+2,78%"
"WEST3","Westwing","1.000","3,64","+2,54%"
"CEBR5","CEB","900","19,98","-0,60%"
"BPAC5","Banco BTG Pactual","900","8,72","+2,59%"
"OFSA3","Ourofino Saúde Animal","700","21,21","-3,02%"
"CRPG6","Tronox Pigmentos","700","16,11","-15,17%"
"ALPA3","Alpargatas","600","7,32","-1,08%"
"NEXP3","Brasil Brokers","600","3,85","+2,39%"
"ENMT3","Energisa MT","500","66,00","+3,12%"
"MOAR3","Monteiro Aranha","400","130,00","+0,00%"
"ENMT4","Energisa MT","400","61,00","+5,17%"
"TELB3","Telebras","400","12,50","+4,17%"
"CPLE5","Copel","400","11,34","+0,00%"
"CEED3","CEEE D","400","7,00","+4,48%"
"FRIO3","Metalfrio","300","250,00","+0,00%"
"CGAS5","Comgás","300","128,47","-1,18%"
"CLSC3","Celesc","300","98,25","+2,45%"
"MNPR3","Minupar","300","25,87","-0,15%"
"EALT3","Electro Aço Altona","300","14,91","+0,00%"
"EQPA7","Equatorial Energia Pará","300","6,52","-19,01%"
"OSXB3","OSX Brasil","300","2,54","+1,20%"
"BNBR3","Banco do Nordeste","200","95,99","+4,22%"
"GEPA4","Rio Paranapanema Energia","200","36,05","+0,00%"
"DOHL4","Döhler","200","4,30","+0,00%"
"RPMG3","Refinaria de Manguinhos","200","2,93","+0,69%"
"CGAS3","Comgás","100","121,51","+1,21%"
"BGIP4","Banese","100","28,60","+1,78%"
"CRPG3","Tronox Pigmentos","100","17,98","+15,18%"
"RPAD3","Alfa Holdings","100","4,50","-8,16%"
"LUPA11","LUPA11","100","0,20","+0,00%"
"PPLA11","PPLA","33","0,89","+1,14%"
"BMKS3","Monark","5","383,00","-3,80%"
